race_id,race_date,race_time,track,race_number,distance_m,grade,race_type,dog_name,dog_url,trap,finish_pos,btn,bend_pos,comments,age_sex,trainer,isp,sp_decimal,run_time,split_time,tfr,forecast_gbp,tricast_gbp,going_allowance,source_url
1362413,2026-03-22,21:26,Star Pelaw,,0,,,POTHOLE BOB,https://www.timeform.com/greyhound-racing/greyhound-form/pothole-bob/111064,3,1,-,1111,"EP,Middle,ALed",1d,C Watson,3/1,0.0,26.1,5.51,102,12.0,0.0,0.0,https://www.timeform.com/greyhound-racing/results/star-pelaw/2126/2026-03-22/1362413
1362413,2026-03-22,21:26,Star Pelaw,,0,,,TOT TRIPPETT,https://www.timeform.com/greyhound-racing/greyhound-form/tot-trippett/103755,6,2,¾,5333,"SAw,Wide,RanOnWell",3d,I Hopper,7/4f,0.0,26.16,5.74,98,12.0,0.0,0.0,https://www.timeform.com/greyhound-racing/results/star-pelaw/2126/2026-03-22/1362413
1362413,2026-03-22,21:26,Star Pelaw,,0,,,TROMORA WHISPA,https://www.timeform.com/greyhound-racing/greyhound-form/tromora-whispa/103756,5,3,hd,2222,"Middle,2ndToRunIn",3d,D A Curry,4/1,0.0,26.18,5.56,97,12.0,0.0,0.0,https://www.timeform.com/greyhound-racing/results/star-pelaw/2126/2026-03-22/1362413
1362413,2026-03-22,21:26,Star Pelaw,,0,,,CATCH THE WIND,https://www.timeform.com/greyhound-racing/greyhound-form/catch-the-wind/107255,1,4,6¾,3444,"Rails,Crowded2,Checked3",3d,D Alcorn,6/1,0.0,26.73,5.62,71,12.0,0.0,0.0,https://www.timeform.com/greyhound-racing/results/star-pelaw/2126/2026-03-22/1362413
1362413,2026-03-22,21:26,Star Pelaw,,0,,,NO BRAKES,https://www.timeform.com/greyhound-racing/greyhound-form/no-brakes/102411,2,5,1¼,4555,"HitRls1,CrdRunIn",2b,G A Foot,15/8,0.0,26.83,5.69,67,12.0,0.0,0.0,https://www.timeform.com/greyhound-racing/results/star-pelaw/2126/2026-03-22/1362413
1362514,2026-03-22,21:16,Kinsley,,0,,,NEW EDITION,https://www.timeform.com/greyhound-racing/greyhound-form/new-edition/108710,5,1,-,3-2-,LdRunInc,2d,I Zivkovic,9/4f,0.0,0.0,0.0,77,13.17,37.61,0.0,https://www.timeform.com/greyhound-racing/results/kinsley/2116/2026-03-22/1362514
1362514,2026-03-22,21:16,Kinsley,,0,,,CASHOUT KITTY,https://www.timeform.com/greyhound-racing/greyhound-form/cashout-kitty/111687,2,2,2½,2-3-,"EP,EvCh",1b,W M Lyons,7/2,0.0,0.0,0.0,60,13.17,37.61,0.0,https://www.timeform.com/greyhound-racing/results/kinsley/2116/2026-03-22/1362514
1362514,2026-03-22,21:16,Kinsley,,0,,,JEANNIE JO,https://www.timeform.com/greyhound-racing/greyhound-form/jeannie-jo/101811,1,3,nk,1-1-,"QAw,LdToRunIn",4b,I Zivkovic,4/1,0.0,0.0,0.0,58,13.17,37.61,0.0,https://www.timeform.com/greyhound-racing/results/kinsley/2116/2026-03-22/1362514
1362514,2026-03-22,21:16,Kinsley,,0,,,DEECEE NIKKI,https://www.timeform.com/greyhound-racing/greyhound-form/deecee-nikki/108757,3,4,1,6-5-,VSAw,2b,W M Lyons,4/1,0.0,0.0,0.0,52,13.17,37.61,0.0,https://www.timeform.com/greyhound-racing/results/kinsley/2116/2026-03-22/1362514
1362514,2026-03-22,21:16,Kinsley,,0,,,QUEEN BABS,https://www.timeform.com/greyhound-racing/greyhound-form/queen-babs/93602,6,5,½,5-4-,ClrRun,4b,J S Atkins,9/2,0.0,0.0,0.0,49,13.17,37.61,0.0,https://www.timeform.com/greyhound-racing/results/kinsley/2116/2026-03-22/1362514
