race_id,race_date,race_time,track,race_number,distance_m,grade,race_type,dog_name,dog_url,trap,finish_pos,btn,bend_pos,comments,age_sex,trainer,isp,sp_decimal,run_time,split_time,tfr,forecast_gbp,tricast_gbp,going_allowance,source_url
1325313,2025-10-12,10:48,Doncaster,2,275,D1,Flat,SHACKELTON ACE,https://www.timeform.com/greyhound-racing/greyhound-form/shackelton-ace/107760,4,1,-,1-1-,"Mid,VQAw,ALed",3d,S Watson,6/1,8.2,0.0,0.0,129,19.62,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1048/2025-10-12/1325313
1325313,2025-10-12,10:48,Doncaster,2,275,D1,Flat,CUSHIE ARNIE,https://www.timeform.com/greyhound-racing/greyhound-form/cushie-arnie/108055,5,2,1¼,2-2-,"Mid-Wide,Always2nd",2d,S Watson,4/5f,2.24,0.0,0.0,120,19.62,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1048/2025-10-12/1325313
1325313,2025-10-12,10:48,Doncaster,2,275,D1,Flat,LUMINOUS DREAM,https://www.timeform.com/greyhound-racing/greyhound-form/luminous-dream/108059,3,3,4½,5-3-,"Mid-Rls,Bmp1",2b,S Watson,7/4,3.26,0.0,0.0,94,19.62,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1048/2025-10-12/1325313
1325313,2025-10-12,10:48,Doncaster,2,275,D1,Flat,GLENGAR AVA,https://www.timeform.com/greyhound-racing/greyhound-form/glengar-ava/105062,1,4,½,4-4-,"Rls,Crd1",3b,V L Clark,8/1,16.97,0.0,0.0,91,19.62,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1048/2025-10-12/1325313
1325313,2025-10-12,10:48,Doncaster,2,275,D1,Flat,RAPIDO SPOOKS,https://www.timeform.com/greyhound-racing/greyhound-form/rapido-spooks/93692,2,5,3¼,3-5-,"Rls,Crd1",4b,S J L Lapidge,7/1,16.0,0.0,0.0,69,19.62,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1048/2025-10-12/1325313
1325312,2025-10-12,10:32,Doncaster,1,450,B4,Flat,BALYMACKEN ESKE,https://www.timeform.com/greyhound-racing/greyhound-form/balymacken-eske/99915,3,1,-,1111,"Mid-Rls,EP,ALed",3d,D Calvert,2/1jf,3.93,28.58,2.22,77,11.49,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1032/2025-10-12/1325312
1325312,2025-10-12,10:32,Doncaster,1,450,B4,Flat,CALGRAY FLYER,https://www.timeform.com/greyhound-racing/greyhound-form/calgray-flyer/101316,1,2,½,2222,"Rls,Bmp1,ChlRnIn",3d,S A Birks,4/1,5.96,28.62,2.29,75,11.49,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1032/2025-10-12/1325312
1325312,2025-10-12,10:32,Doncaster,1,450,B4,Flat,MILLHOUSE CHARM,https://www.timeform.com/greyhound-racing/greyhound-form/millhouse-charm/101770,6,3,2¾,3333,Wide,3b,R J Overton,2/1jf,3.34,28.85,2.31,64,11.49,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1032/2025-10-12/1325312
1325312,2025-10-12,10:32,Doncaster,1,450,B4,Flat,BALLINABOLA MINI,https://www.timeform.com/greyhound-racing/greyhound-form/ballinabola-mini/101896,2,4,2,4444,"Rls-Mid,Bmp1",3b,S A Birks,7/1,14.3,29.0,2.28,57,11.49,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1032/2025-10-12/1325312
1325312,2025-10-12,10:32,Doncaster,1,450,B4,Flat,LINKS BATMAN,https://www.timeform.com/greyhound-racing/greyhound-form/links-batman/97345,4,5,1¼,5555,"Mid,Bmp1",3d,R J Overton,5/2,4.4,29.1,2.31,52,11.49,0.0,0.0,https://www.timeform.com/greyhound-racing/results/doncaster/1032/2025-10-12/1325312
