event_id,event_date,season,tournament,round,best_of,player_a,player_b,rank_a,rank_b,last5_wins_a,last5_wins_b,last5_frame_diff_a,last5_frame_diff_b,in_tournament_wins_a,in_tournament_wins_b,in_tournament_frame_diff_a,in_tournament_frame_diff_b,rest_days_a,rest_days_b,prev_decider_a,prev_decider_b,h2h_3y_wins_a,h2h_3y_wins_b,model_prob_a,price_taken_a,price_taken_b,close_odds_a,close_odds_b,winner,score_a,score_b,notes,feature_rank_gap,feature_last5_wins_diff,feature_last5_frame_diff_gap,feature_in_tournament_wins_diff,feature_in_tournament_frame_diff_gap,feature_rest_days_diff,feature_prev_decider_diff,feature_h2h_3y_wins_diff
uk_2025_r1_higgins_woollaston,2025-11-29,2025/2026,UK Championship,Round One,11,John Higgins,Ben Woollaston,7,70,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.9996,1.25,3.50,1.25,3.50,player_a,6,2,,1.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_murphy_lyu,2025-11-29,2025/2026,UK Championship,Round One,11,Shaun Murphy,Lyu Haotian,10,45,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.9762,1.13,5.00,1.13,5.00,player_a,6,2,,1.093750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_trump_maguire,2025-11-29,2025/2026,UK Championship,Round One,11,Judd Trump,Stephen Maguire,1,25,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.8865,1.22,3.70,1.22,3.70,player_a,6,4,,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_robertson_leclercq,2025-11-30,2025/2026,UK Championship,Round One,11,Neil Robertson,Julien Leclercq,4,79,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.9999,1.05,7.50,1.05,7.50,player_a,6,2,,2.343750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_williams_gilbert,2025-11-30,2025/2026,UK Championship,Round One,11,Mark Williams,David Gilbert,5,24,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.7860,1.30,3.10,1.30,3.10,player_a,6,4,,0.593750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_wu_holt,2025-11-30,2025/2026,UK Championship,Round One,11,Wu Yize,Michael Holt,13,64,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.9978,1.15,4.50,1.15,4.50,player_a,6,4,,1.593750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_ding_xu,2025-12-01,2025/2026,UK Championship,Round One,11,Ding Junhui,Xu Si,9,39,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.9508,1.29,3.20,1.29,3.20,player_a,6,4,,0.937500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_gary_zhang,2025-12-01,2025/2026,UK Championship,Round One,11,Gary Wilson,Zhang Anda,0,35,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.1728,1.53,2.20,1.53,2.20,player_b,5,6,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_zhao_long,2025-12-01,2025/2026,UK Championship,Round One,11,Zhao Xintong,Long Zehuang,15,80,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.9997,1.10,5.50,1.10,5.50,player_a,6,1,,2.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r1_selby_lei,2025-12-02,2025/2026,UK Championship,Round One,11,Mark Selby,Lei Peifan,11,31,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.8103,1.17,4.33,1.17,4.33,player_a,6,2,,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
