match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2025-03-29,england-premiership,2024-2025,Gloucester,Bristol,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/gloucester-bristol-bears-YNol2xtP/,53,28,2.0,1.8,,,,63.5,1.8333,1.8333,bet365.us,market-average,
2025-03-30,england-premiership,2024-2025,Leicester Tigers,Saracens,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/leicester-tigers-saracens-EH3d6lht/,22,29,1.5291,2.5,,,,56.5,1.8333,1.8333,bet365.us,market-average,
2025-04-18,england-premiership,2024-2025,Newcastle Red Bulls,Northampton Saints,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/newcastle-red-bulls-northampton-saints-vaenFqyB/,34,35,4.5,1.2,,,,53.5,1.7874,1.7874,bet365.us,market-average,
2025-04-19,england-premiership,2024-2025,Exeter Chiefs,Bath,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/exeter-chiefs-bath-QykWIRyn/,24,26,4.33,1.2198,,,,64.5,1.8333,1.8333,bet365.us,market-average,
2025-04-19,england-premiership,2024-2025,Harlequins,Sale Sharks,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/harlequins-sale-sharks-6ocvH56b/,29,43,1.5714,2.38,,,,60.5,1.8333,1.8333,bet365.us,market-average,
2025-04-19,england-premiership,2024-2025,Saracens,Gloucester,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/saracens-gloucester-zD9MbOjU/,36,14,1.1,7.0,,,,67.5,1.8333,1.8333,bet365.us,market-average,
2025-04-20,england-premiership,2024-2025,Bristol,Leicester Tigers,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/bristol-bears-leicester-tigers-EcLD0pMH/,19,36,1.4405,2.75,,,,69.5,1.8333,1.8333,bet365.us,market-average,
2025-04-25,england-premiership,2024-2025,Sale Sharks,Saracens,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/sale-sharks-saracens-YLGLTrj4/,25,7,1.6211,2.29,,,,,,,bet365.us,,
2025-04-26,england-premiership,2024-2025,Bath,Newcastle Red Bulls,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/bath-newcastle-red-bulls-n5IDV4Li/,55,19,1.03,11.0,,,,,,,bet365.us,,
2025-04-26,england-premiership,2024-2025,Leicester Tigers,Harlequins,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/leicester-tigers-harlequins-zRleDN5N/,40,7,1.2899,3.75,,,,60.5,1.8333,1.8333,bet365.us,market-average,
2025-04-26,england-premiership,2024-2025,Northampton Saints,Bristol,https://www.oddsportal.com/rugby-union/england/premiership-rugby-2024-2025/northampton-saints-bristol-bears-69uR71Tp/,48,31,1.33,3.4,,,,66.5,1.8333,1.8333,bet365.us,market-average,
