match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2025-05-10,france-top-14,2024-2025,RC Toulonnais,Stade Toulousain,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-toulonnais-stade-toulousain-IiecZjKk/,16,50,1.4,2.75,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-05-11,france-top-14,2024-2025,Montpellier,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/montpellier-herault-rc-bordeaux-begles-jwuHgL54/,46,27,1.25,3.75,,,,42.5,1.8,1.9091,bet365.us,market-average,
2025-05-17,france-top-14,2024-2025,Aviron Bayonnais,Vannes,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/aviron-bayonnais-rc-vannes-bPVVmjZr/,38,32,1.13,5.5,,,,,,,bet365.us,,
2025-05-17,france-top-14,2024-2025,Bordeaux Begles,Castres Olympique,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/bordeaux-begles-castres-olympique-ptfD0TIl/,34,29,1.1401,5.0,,,,,,,bet365.us,,
2025-05-17,france-top-14,2024-2025,Clermont,USA Perpignan,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/clermont-usa-perpignan-vukagCBL/,31,13,1.1701,4.5,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-05-17,france-top-14,2024-2025,Stade Toulousain,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-toulousain-racing-92-Ec3s6keR/,35,37,1.05,8.5,,,,62.5,1.8333,1.8333,bet365.us,market-average,
2025-05-18,france-top-14,2024-2025,Stade Rochelais,Montpellier,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-rochelais-montpellier-herault-rc-hrFY7BQE/,47,18,1.2,4.33,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-05-24,france-top-14,2024-2025,Castres Olympique,Clermont,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/castres-olympique-clermont-UXgMXwqo/,34,29,1.25,3.75,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-05-31,france-top-14,2024-2025,Castres Olympique,Aviron Bayonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/castres-olympique-aviron-bayonnais-ELoUdoID/,33,3,1.25,3.75,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-05-31,france-top-14,2024-2025,Clermont,Stade Francais Paris,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/clermont-stade-francais-paris-t8mMb7m1/,55,20,1.1701,4.5,,,,53.5,1.8333,1.8333,bet365.us,market-average,
