match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2025-04-25,united-rugby-championship,2024-2025,Cardiff Rugby,Munster,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/cardiff-rugby-munster-vmRJQXUb/,26,21,2.63,1.5,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-04-25,united-rugby-championship,2024-2025,Glasgow Warriors,Bulls,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/glasgow-warriors-blue-bulls-KrfgACpI/,19,26,1.6211,2.29,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-04-26,united-rugby-championship,2024-2025,Lions,Connacht,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/golden-lions-connacht-hdh18jFU/,26,7,1.4405,2.75,,,,62.5,1.8333,1.8333,bet365.us,market-average,
2025-04-26,united-rugby-championship,2024-2025,Ospreys,Dragons,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/ospreys-dragons-rfc-02FSOBaB/,57,24,1.11,6.5,,,,,,,bet365.us,,
2025-04-26,united-rugby-championship,2024-2025,Scarlets,Leinster,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/scarlets-leinster-nJDzNkUN/,35,22,4.0,1.25,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-04-26,united-rugby-championship,2024-2025,Stormers,Benetton,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/stormers-benetton-rugby-WMNBSg0n/,56,5,1.25,4.0,,,,56.5,1.8333,1.8333,bet365.us,market-average,
2025-04-26,united-rugby-championship,2024-2025,Ulster,Sharks,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/ulster-sharks-W8rwEfog/,19,22,2.25,1.5714,,,,52.5,1.8333,1.8333,bet365.us,market-average,
2025-05-09,united-rugby-championship,2024-2025,Munster,Ulster,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/munster-ulster-63f7HTio/,38,20,1.3597,3.2,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-05-09,united-rugby-championship,2024-2025,Sharks,Ospreys,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/sharks-ospreys-MySIZSDT/,29,10,1.1,7.0,,,,54.5,1.8333,1.8333,bet365.us,market-average,
2025-05-10,united-rugby-championship,2024-2025,Benetton,Glasgow Warriors,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/benetton-rugby-glasgow-warriors-0MwAykqH/,33,7,2.1,1.7299,,,,50.5,1.8333,1.8333,bet365.us,market-average,
2025-05-10,united-rugby-championship,2024-2025,Bulls,Cardiff Rugby,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/blue-bulls-cardiff-rugby-hKIlU6yi/,45,21,1.06,8.0,,,,61.5,1.8333,1.8333,bet365.us,market-average,
2025-05-10,united-rugby-championship,2024-2025,Connacht,Edinburgh,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/connacht-edinburgh-fPz2wBE4/,21,31,1.5,2.63,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-05-10,united-rugby-championship,2024-2025,Leinster,Zebre,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/leinster-zebre-bcsguXqh/,76,5,1.01,21.0,,,,64.5,1.8333,1.8333,bet365.us,market-average,
2025-05-10,united-rugby-championship,2024-2025,Stormers,Dragons,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/stormers-dragons-rfc-AemZyJfc/,48,12,1.01,21.0,,,,53.5,1.8333,1.8333,bet365.us,market-average,
2025-05-11,united-rugby-championship,2024-2025,Lions,Scarlets,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/golden-lions-scarlets-r9oszcP9/,19,32,1.5,2.63,,,,60.5,1.8333,1.8333,bet365.us,market-average,
2025-05-16,united-rugby-championship,2024-2025,Edinburgh,Ulster,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/edinburgh-ulster-rsP9yA0E/,47,17,1.2899,3.75,,,,,,,bet365.us,,
2025-05-16,united-rugby-championship,2024-2025,Munster,Benetton,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/munster-benetton-rugby-neu7Hl9r/,30,21,1.2,4.5,,,,52.5,1.8333,1.8333,bet365.us,market-average,
2025-05-16,united-rugby-championship,2024-2025,Stormers,Cardiff Rugby,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/stormers-cardiff-rugby-xtIIZmVQ/,34,24,1.08,7.0,,,,56.5,1.8333,1.8333,bet365.us,market-average,
2025-05-17,united-rugby-championship,2024-2025,Leinster,Glasgow Warriors,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/leinster-glasgow-warriors-fLrFFSwe/,13,5,1.01,17.0,,,,60.5,1.8333,1.8333,bet365.us,market-average,
2025-05-17,united-rugby-championship,2024-2025,Lions,Ospreys,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/golden-lions-ospreys-UwccS5N0/,29,28,1.4,3.0,,,,59.5,1.8333,1.8333,bet365.us,market-average,
2025-05-17,united-rugby-championship,2024-2025,Sharks,Scarlets,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/sharks-scarlets-x405QqhD/,12,3,1.1701,5.0,,,,51.5,1.8333,1.8333,bet365.us,market-average,
2025-05-17,united-rugby-championship,2024-2025,Zebre,Connacht,https://www.oddsportal.com/rugby-union/world/united-rugby-championship-2024-2025/zebre-connacht-GzXND687/,12,22,2.29,1.6211,,,,,,,bet365.us,,
